node_id,x,y,z,ux,uy,uz,u_mag,s11,s22,s12,smises,vx,vy,vz,v_mag,defect_label
4589,592.5284,2450.0,2532.096,-0.0040956517,0.35209036,0.5823012,0.6804844737052917,-1.1566682904958725,-0.4318586178123951,0.0,1.0151180624961853,-0.043692607,1.9653088,3.6900811,4.181034088134766,0
4590,592.5284,2400.0,2532.096,-0.0041266503,0.3541574,0.6091462,0.7046300768852234,-1.192512333393097,-0.43739375844597816,0.0,1.0474767535924911,-0.052494686,1.9656856,3.8392563,4.313532829284668,0
4591,592.5284,2350.0,2532.096,-0.004149255,0.35625386,0.63625205,0.7292123436927795,-1.2296942919492722,-0.44335561245679855,0.0,1.0811033844947815,-0.026875857,1.9647155,3.9898992,4.447484970092773,0
4592,592.5284,2300.0,2532.096,-0.0041777203,0.35837454,0.66358435,0.7541843056678772,-1.2717738449573517,-0.449477668851614,0.0,1.1192822009325027,0.05411768,1.9642339,4.116869,4.561770915985107,0
4593,592.5284,2250.0,2532.096,-0.0042007924,0.36052564,0.6911885,0.779575526714325,-1.3097486943006516,-0.4546252004802227,0.0,1.1537389606237411,0.08484522,1.9638463,4.2646475,4.695860862731934,0
4594,640.93097,3550.0,2520.2793,-0.001558267,0.30906224,0.030374162,0.3105551302433014,-0.18060322850942612,-0.2426624707877636,0.0,0.2386121992021799,-0.0053433236,1.9345511,0.26124865,1.9521187543869019,0
4595,640.93097,3500.0,2520.2793,-0.001801685,0.31028458,0.054253682,0.31499719619750977,-0.22959985956549644,-0.2522868197411299,0.0,0.2601656075567007,-0.0027458004,1.934835,0.41956672,1.979805588722229,0
4596,640.93097,3450.0,2520.2793,-0.0020431047,0.31155154,0.07820395,0.32122325897216797,-0.27954685874283314,-0.26202742010354996,0.0,0.28784699738025665,0.00013028271,1.934129,0.5795737,2.019098997116089,0
4597,640.93097,3400.0,2520.2793,-0.0022663688,0.31286392,0.10222143,0.32914766669273376,-0.3299150839447975,-0.2717244140803814,0.0,0.3198142684996128,0.007461334,1.9328548,0.73466206,2.067779302597046,0
4598,640.93097,3350.0,2520.2793,-0.0024914476,0.31422132,0.12631644,0.3386695981025696,-0.3783383369445801,-0.2813858278095722,0.0,0.3536116033792496,0.0068788375,1.9324703,0.8910156,2.1280031204223633,0
4599,640.93097,3299.9998,2520.2793,-0.002695757,0.31562153,0.1504914,0.34967395663261414,-0.4269343204796314,-0.2908315174281597,0.0,0.3896540068089962,0.0016993997,1.9328674,1.0507394,2.200007438659668,0
4600,640.93097,3250.0,2520.2793,-0.002900587,0.3170633,0.17476515,0.36205026507377625,-0.4760373830795288,-0.30006930977106094,0.0,0.4276801757514477,-0.0060182502,1.9325769,1.2091337,2.279669761657715,0
4601,640.93097,3199.9998,2520.2793,-0.0030817823,0.31854573,0.19913466,0.37568002939224243,-0.5244212932884693,-0.30953237786889076,0.0,0.4664296917617321,-0.009706674,1.9309528,1.368013,2.366459846496582,0
4602,640.93097,3150.0,2520.2793,-0.0032674125,0.32007146,0.22360162,0.3904537260532379,-0.5705322399735451,-0.31851647421717644,0.0,0.5041816905140877,-0.0022730613,1.9311264,1.5149797,2.4544689655303955,0
4603,640.93097,3099.9998,2520.2793,-0.003433236,0.32163417,0.24817316,0.4062637686729431,-0.6164583936333656,-0.32718952372670174,0.0,0.5424397364258766,0.012357449,1.9302254,1.6821574,2.5603859424591064,0
4604,640.93097,3050.0,2520.2793,-0.0035882639,0.32324123,0.27290916,0.4230569303035736,-0.6624390557408333,-0.33613089844584465,0.0,0.5812231451272964,0.021361254,1.929165,1.8275666,2.6574676036834717,0
4605,640.93097,2999.9998,2520.2793,-0.0037424038,0.3248865,0.29769957,0.4406702518463135,-0.7066162824630737,-0.3448193706572056,0.0,0.618882566690445,0.008892395,1.9300685,1.9848258,2.76853346824646,0
4606,640.93097,2950.0,2520.2793,-0.0038759578,0.32656848,0.32269722,0.45912471413612366,-0.7530177757143974,-0.35349374264478683,0.0,0.6589181423187256,-0.0038449336,1.9290403,2.1441622,2.8842058181762695,0
4607,640.93097,2899.9998,2520.2793,-0.00399437,0.32829085,0.34779888,0.4782832860946655,-0.7985946610569954,-0.3617749400436878,0.0,0.6985252052545547,-0.024590198,1.9273132,2.3018806,3.002298355102539,0
4608,640.93097,2850.0,2520.2793,-0.0041151107,0.3300472,0.3730268,0.4980934262275696,-0.8401222378015518,-0.3693595826625824,0.0,0.7347690612077713,-0.004567785,1.9273626,2.465688,3.1295950412750244,0
4609,640.93097,2799.9998,2520.2793,-0.0042163003,0.33183846,0.39844322,0.518547534942627,-0.8823627680540085,-0.3769546411931515,0.0,0.7718701288104057,0.004841702,1.9274683,2.6006444,3.2370524406433105,0
4610,640.93097,2750.0,2520.2793,-0.00430668,0.33366495,0.4240238,0.5395804643630981,-0.9250068590044975,-0.38449936360120773,0.0,0.8094778060913086,0.041954968,1.9252272,2.747692,3.3553049564361572,0
4611,640.93097,2699.9998,2520.2793,-0.00439539,0.3355241,0.4497739,0.5611526966094971,-0.9675335437059402,-0.39208951219916344,0.0,0.84711604565382,0.02675587,1.9247167,2.9121525,3.490828514099121,0
4612,640.93097,2650.0,2520.2793,-0.004462968,0.337418,0.47569698,0.5832310318946838,-1.0107063949108124,-0.3996482491493225,0.0,0.8855109512805939,0.0088190995,1.9261286,3.0591693,3.615046977996826,0
4613,640.93097,2600.0,2520.2793,-0.004524608,0.33934215,0.50183135,0.6058120727539062,-1.0509876310825348,-0.40613584965467453,0.0,0.9215193167328835,-0.040339135,1.9262279,3.2326896,3.7632782459259033,0
4614,640.93097,2550.0,2520.2793,-0.004574098,0.3412947,0.5281019,0.6288041472434998,-1.09246127307415,-0.4122273027896881,0.0,0.9588432684540749,-0.031889677,1.9262543,3.3767033,3.8876211643218994,0
4615,640.93097,2500.0,2520.2793,-0.0046123667,0.3432768,0.5546666,0.6523152589797974,-1.1354828774929047,-0.4191434346139431,0.0,0.9976598471403122,-0.010575067,1.9258821,3.5299962,4.0211944580078125,0
4616,640.93097,2450.0,2520.2793,-0.0046426086,0.34529197,0.581367,0.676192045211792,-1.1756026595830917,-0.4255656562745571,0.0,1.0338331013917923,0.052479967,1.9258977,3.6587234,4.134984016418457,0
4617,640.93097,2400.0,2520.2793,-0.0046803686,0.3473314,0.6083199,0.7005099058151245,-1.215759128332138,-0.43095899745821953,0.0,1.0701812207698822,0.061038155,1.9246539,3.8152156,4.273627281188965,0
4618,640.93097,2350.0,2520.2793,-0.004699488,0.34939307,0.63549757,0.725227415561676,-1.2557935267686844,-0.43618278205394745,0.0,1.106572151184082,0.03745445,1.9238495,3.9650218,4.407266616821289,0
4619,640.93097,2300.0,2520.2793,-0.00472997,0.35147715,0.6629001,0.7503299713134766,-1.2957319468259811,-0.44103818759322166,0.0,1.1430695801973343,-0.04057551,1.9230709,4.146955,4.571332931518555,0
4620,640.93097,2250.0,2520.2793,-0.004740364,0.3535783,0.6905431,0.7758156061172485,-1.3336277306079865,-0.4456649534404278,0.0,1.1778661757707596,-0.069079444,1.9225228,4.2988033,4.709625720977783,0
4621,689.08905,3600.0002,2507.54,-0.0015892847,0.3010034,0.0055366755,0.30105850100517273,-0.13016838487237692,-0.23135067708790302,0.0,0.22555058635771275,-0.002665348,1.8962802,0.099732384,1.8989028930664062,0
4622,689.08905,3550.0,2507.54,-0.0018733665,0.30217624,0.02930542,0.3035997152328491,-0.180344570428133,-0.24094686843454838,0.0,0.2402683775871992,0.0077385614,1.8958753,0.25632533,1.9131402969360352,0
4623,689.08905,3500.0,2507.54,-0.002156306,0.30339107,0.053119525,0.30801376700401306,-0.22908414527773857,-0.25032903626561165,0.0,0.2614240702241659,0.0012858675,1.8938496,0.41595557,1.9389911890029907,0
4624,689.08905,3450.0002,2507.54,-0.002419284,0.30464986,0.07701023,0.314241886138916,-0.27802195586264133,-0.25985144078731537,0.0,0.28832847997546196,0.0027465457,1.8936788,0.5759326,1.979324460029602,0
4625,689.08905,3400.0,2507.54,-0.0026845103,0.30595005,0.100974694,0.32219329476356506,-0.3298204429447651,-0.26956551149487495,0.0,0.3210807219147682,-0.00877161,1.8945975,0.738245,2.033367395401001,0
4626,689.08905,3350.0,2507.54,-0.0029217624,0.3072943,0.1250209,0.3317658305168152,-0.38014692068099976,-0.2792159840464592,0.0,0.3561229147017002,-0.0051018186,1.8941977,0.89389825,2.0945322513580322,0
4627,689.08905,3300.0,2507.54,-0.003162643,0.30868125,0.14916341,0.34284666180610657,-0.42948031052947044,-0.2884085401892662,0.0,0.39261769503355026,-0.0030866116,1.892631,1.0484486,2.16363263130188,0
4628,689.08905,3250.0,2507.54,-0.003382919,0.31010717,0.17338516,0.3553031384944916,-0.4784207455813885,-0.29732104018330574,0.0,0.43046735227108,0.0099802,1.8907067,1.2037532,2.2414042949676514,0
4629,689.08905,3200.0002,2507.54,-0.0035995306,0.3115749,0.19773726,0.3690418601036072,-0.5264637731015682,-0.306571114808321,0.0,0.46895813941955566,0.012283085,1.8892304,1.3595122,2.3275773525238037,0
4630,689.08905,3150.0,2507.54,-0.0037948908,0.31308883,0.22217657,0.38392895460128784,-0.5735952630639076,-0.31556805968284607,0.0,0.5076216831803322,0.008859021,1.8873132,1.52344,2.425468921661377,0
4631,689.08905,3100.0,2507.54,-0.003985863,0.31463796,0.24674885,0.39987239241600037,-0.6198935657739639,-0.32418206334114075,0.0,0.5461678355932236,-0.009394543,1.8875029,1.6725214,2.5219204425811768,0
4632,689.08905,3050.0,2507.54,-0.004157092,0.3162257,0.27143198,0.4167628884315491,-0.6674205437302589,-0.3330412469804287,0.0,0.5863315314054489,-0.013682628,1.8881545,1.8399916,2.6364529132843018,0
