step,time_s,instance,u_mag_max_mm,u_x_max_mm,u_y_max_mm,u_z_max_mm,v_mag_max_mm_s,s_mises_max_MPa
Step-Separation,0.1130610378459096,Q2-OUTERSKIN,4.336184501647949,1.734733,0.58684385,-3.9304974,20.207054138183594,166.63929748535156
Step-Separation,0.1150601776316762,ADAPTER,0.0,0.0,0.0,0.0,0.0,0.0
Step-Separation,0.1150601776316762,Q1-CORE,2.119830369949341,0.48966742,-0.026076278,2.0623353,61.26940155029297,3.045701026916504
Step-Separation,0.1150601776316762,Q1-INNERSKIN,2.1336967945098877,0.4840455,-0.03570555,2.0777602,60.47306823730469,162.6539764404297
Step-Separation,0.1150601776316762,Q1-OUTERSKIN,1.8898905515670776,0.38414344,0.21998002,1.8373157,12.019064903259277,102.01358032226562
Step-Separation,0.1150601776316762,Q2-CORE,4.577558994293213,1.8131063,0.074204326,-4.2025213,20.16034507751465,2.6051836013793945
Step-Separation,0.1150601776316762,Q2-INNERSKIN,4.577906131744385,1.8115864,0.05867535,-4.2038,20.066125869750977,82.99971771240234
Step-Separation,0.1150601776316762,Q2-OUTERSKIN,4.3735785484313965,1.7445081,0.5904837,-3.9668891,20.053604125976562,166.57730102539062
Step-Separation,0.1170593174174428,ADAPTER,0.0,0.0,0.0,0.0,0.0,0.0
Step-Separation,0.1170593174174428,Q1-CORE,2.1334424018859863,0.48719713,-0.02524503,2.0769155,61.143760681152344,3.0447423458099365
Step-Separation,0.1170593174174428,Q1-INNERSKIN,2.1475465297698975,0.48153585,-0.034835175,2.092574,60.30862045288086,163.21969604492188
Step-Separation,0.1170593174174428,Q1-OUTERSKIN,1.9039814472198486,0.38152787,0.22040914,1.8522964,12.012859344482422,101.91954040527344
Step-Separation,0.1170593174174428,Q2-CORE,4.615039348602295,1.8234146,0.077291876,-4.238841,20.21822166442871,2.6049540042877197
Step-Separation,0.1170593174174428,Q2-INNERSKIN,4.615377902984619,1.8219016,0.06175533,-4.2401147,20.1641902923584,82.89014434814453
Step-Separation,0.1170593174174428,Q2-OUTERSKIN,4.41098690032959,1.7542242,0.59415597,-4.003309,20.08022117614746,166.56744384765625
Step-Separation,0.1190584572032094,ADAPTER,0.0,0.0,0.0,0.0,0.0,0.0
Step-Separation,0.1190584572032094,Q1-CORE,2.1473379135131836,0.48488197,-0.024403956,2.0917346,60.702205657958984,3.045335531234741
