node_id,x,y,z,ux,uy,uz,u_mag,s11,s22,s12,smises,vx,vy,vz,v_mag,defect_label
23592,2520.2793,3749.9998,-640.93097,-0.026458794,-0.7375849,0.14844567,0.7528396844863892,0.15479298681020737,0.43269630149006844,0.0,0.7611805573105812,-0.27514973,-4.5880547,0.9109173,4.685693264007568,0
23593,2520.2793,3700.0,-640.93097,-0.032410003,-0.73978037,0.12647608,0.7512134313583374,0.17030606605112553,0.4541587494313717,0.0,0.7790811657905579,-0.3023431,-4.588781,0.73533845,4.657149791717529,0
23594,2520.2793,3649.9998,-640.93097,-0.03828405,-0.7420805,0.10434332,0.7503576874732971,0.18507086858153343,0.47568153962492943,0.0,0.7962755635380745,-0.33386713,-4.5907636,0.559913,4.636817932128906,0
23595,2520.2793,3600.0,-640.93097,-0.044130303,-0.7444858,0.08204362,0.7502917647361755,0.19957811757922173,0.4975280426442623,0.0,0.812591902911663,-0.3671653,-4.5918117,0.38458902,4.622494220733643,0
23596,2520.2793,3550.0,-640.93097,-0.049872234,-0.74700373,0.05953176,0.7510298490524292,0.2121212501078844,0.5193465314805508,0.0,0.8279665410518646,-0.3882481,-4.5926533,0.20541915,4.613609790802002,0
23597,2520.2793,3500.0,-640.93097,-0.05558812,-0.7496299,0.036812816,0.7525889873504639,0.2244473285973072,0.5409746393561363,0.0,0.842331700026989,-0.41735107,-4.5944386,0.026545852,4.613431453704834,0
23598,2520.2793,3450.0,-640.93097,-0.061218075,-0.7523609,0.013847257,0.754974365234375,0.23599294386804104,0.562489852309227,0.0,0.8556559309363365,-0.4457171,-4.596112,-0.15077105,4.620133876800537,0
23599,2520.2793,3400.0,-640.93097,-0.066775,-0.7551976,-0.00938168,0.758202075958252,0.24600513465702534,0.5841824859380722,0.0,0.8680884912610054,-0.4697351,-4.596827,-0.33397317,4.632818698883057,0
23600,2520.2793,3350.0,-640.93097,-0.072264425,-0.75814354,-0.0328922,0.7622897624969482,0.2561065051704645,0.605968527495861,0.0,0.8794724717736244,-0.49108225,-4.5977235,-0.51480514,4.652445316314697,0
23601,2520.2793,3299.9998,-640.93097,-0.07766923,-0.7611974,-0.05671448,0.7672486305236816,0.2650547679513693,0.6275771707296371,0.0,0.8898847177624702,-0.51226336,-4.5994105,-0.6994246,4.680404186248779,0
23602,2520.2793,3250.0,-640.93097,-0.08298938,-0.7643582,-0.08086752,0.7730913758277893,0.27273866161704063,0.6490260362625122,0.0,0.8993948549032211,-0.5356458,-4.60154,-0.8829988,4.716012954711914,0
23603,2520.2793,3199.9998,-640.93097,-0.088201016,-0.76762384,-0.10537842,0.7798271179199219,0.27891528233885765,0.6702619269490242,0.0,0.9077825620770454,-0.5578221,-4.603418,-1.0686057,4.758627891540527,0
23604,2520.2793,3150.0,-640.93097,-0.09331535,-0.77099514,-0.13027187,0.7874718904495239,0.28397659584879875,0.6914128363132477,0.0,0.9155839011073112,-0.56808084,-4.6060724,-1.257128,4.808220863342285,0
23605,2520.2793,3099.9998,-640.93097,-0.09831088,-0.7744686,-0.15556875,0.7960327863693237,0.2883417494595051,0.712258517742157,0.0,0.9228478595614433,-0.5903438,-4.608211,-1.4458402,4.865652084350586,0
23606,2520.2793,3050.0,-640.93097,-0.103188716,-0.77804595,-0.18129596,0.8055256605148315,0.2927796095609665,0.7328372970223427,0.0,0.9289908334612846,-0.5999512,-4.608645,-1.6362591,4.927158832550049,0
23607,2520.2793,2999.9998,-640.93097,-0.10793417,-0.7817271,-0.20747703,0.8159618377685547,0.29724058508872986,0.7534758672118187,0.0,0.9341711476445198,-0.6158223,-4.6098504,-1.8285583,4.9973578453063965,0
23608,2520.2793,2950.0,-640.93097,-0.11254408,-0.7855101,-0.23414102,0.827353835105896,0.2994866743683815,0.7737433835864067,0.0,0.9384863972663879,-0.6259612,-4.611867,-2.0214689,5.074197292327881,0
23609,2520.2793,2899.9998,-640.93097,-0.11698439,-0.789389,-0.26131284,0.8397051692008972,0.2986317127943039,0.7930234372615814,0.0,0.941778264939785,-0.6436305,-4.613861,-2.2153633,5.1584696769714355,0
23610,2520.2793,2850.0,-640.93097,-0.12124633,-0.7933584,-0.28902313,0.8530255556106567,0.2980730012059212,0.8121274262666702,0.0,0.9441340193152428,-0.6451701,-4.61637,-2.4125838,5.2485880851745605,0
23611,2520.2793,2799.9998,-640.93097,-0.12537564,-0.79742986,-0.31728053,0.8673409819602966,0.2988552674651146,0.8315924778580666,0.0,0.9463440552353859,-0.6508418,-4.618322,-2.612248,5.345683574676514,0
23612,2520.2793,2750.0,-640.93097,-0.1292816,-0.8016001,-0.34613127,0.882656991481781,0.29684433341026306,0.8499903082847595,0.0,0.9477748945355415,-0.65677994,-4.6195064,-2.810318,5.446933746337891,0
23613,2520.2793,2699.9998,-640.93097,-0.13299023,-0.80585456,-0.37559307,0.8989761471748352,0.2938090153038502,0.8675485029816628,0.0,0.9480243697762489,-0.6622976,-4.6215606,-3.0135133,5.556862831115723,0
23614,2520.2793,2650.0,-640.93097,-0.13654684,-0.81019425,-0.405678,0.9163156747817993,0.29052741453051567,0.8851740211248398,0.0,0.948545515537262,-0.6656774,-4.6237154,-3.2132924,5.669842720031738,0
23615,2520.2793,2600.0,-640.93097,-0.13982727,-0.8146224,-0.4364327,0.9346843957901001,0.28669603168964386,0.9024921804666519,0.0,0.9489116594195366,-0.665845,-4.625955,-3.420399,5.791540145874023,0
23616,2507.54,5000.0,-689.08905,0.16336985,-0.6882974,0.69106483,0.9889456629753113,-0.5974417477846146,0.0003270334163971711,0.0,0.5981998294591904,0.7001877,-4.4022746,5.1745124,6.829777717590332,0
23617,2507.54,4950.0,-689.08905,0.15345459,-0.6883519,0.6683572,0.9716367721557617,-0.5343948714435101,0.006104244364905753,0.0,0.5403717756271362,0.6488957,-4.402682,5.0020504,6.695160865783691,0
23618,2507.54,4900.0005,-689.08905,0.1437059,-0.6884529,0.6458761,0.9548689723014832,-0.42412013560533524,0.018579814583063126,0.0,0.4439415857195854,0.61118555,-4.4030375,4.831793,6.565554618835449,0
23619,2507.54,4850.0,-689.08905,0.13410296,-0.6886106,0.6235719,0.9386213421821594,-0.3454745262861252,0.032545761903747916,0.0,0.38527986779809,0.5644711,-4.402742,4.658868,6.434890270233154,0
23620,2507.54,4800.0,-689.08905,0.12468475,-0.6888334,0.60140836,0.9228920340538025,-0.2904585860669613,0.04752604942768812,0.0,0.3569577746093273,0.5256357,-4.402557,4.490688,6.31071138381958,0
23621,2507.54,4750.0,-689.08905,0.11547472,-0.68912727,0.57938206,0.907697319984436,-0.2491645496338606,0.06260315468534827,0.0,0.34813398867845535,0.48176804,-4.4023113,4.317201,6.184712886810303,0
23622,2507.54,4700.0,-689.08905,0.10647785,-0.68949145,0.5574779,0.8930383920669556,-0.21672899276018143,0.07760458346456289,0.0,0.3519858233630657,0.43655792,-4.4018064,4.1509457,6.066039085388184,0
23623,2507.54,4650.0005,-689.08905,0.097736605,-0.6899305,0.5356698,0.8789190053939819,-0.18945002183318138,0.09256917610764503,0.0,0.3641243688762188,0.3990304,-4.4017744,3.9772887,5.945895195007324,0
23624,2507.54,4600.0,-689.08905,0.08921836,-0.6904427,0.5139608,0.8653477430343628,-0.16514050960540771,0.10718025825917721,0.0,0.38155150413513184,0.34832218,-4.402028,3.813141,5.834314346313477,0
23625,2507.54,4550.0,-689.08905,0.08094524,-0.6910246,0.49233395,0.8523261547088623,-0.14179369248449802,0.1215863237157464,0.0,0.4015907794237137,0.31195638,-4.4021735,3.6390412,5.720058441162109,0
23626,2507.54,4500.0,-689.08905,0.072909445,-0.69167465,0.47077748,0.8398577570915222,-0.1205783523619175,0.1362950410693884,0.0,0.4246872365474701,0.26560596,-4.4014196,3.4747877,5.614017486572266,0
23627,2507.54,4450.0,-689.08905,0.06505418,-0.6923988,0.44930574,0.8279635906219482,-0.098680947907269,0.15157129615545273,0.0,0.44777336344122887,0.23043926,-4.4013762,3.3006227,5.506298542022705,0
23628,2507.54,4400.0005,-689.08905,0.05742704,-0.69319916,0.42786595,0.8166347146034241,-0.07537775859236717,0.16704067960381508,0.0,0.4714013561606407,0.17940533,-4.4026856,3.1378558,5.409432888031006,0
23629,2507.54,4350.0,-689.08905,0.0499681,-0.69407386,0.40649852,0.8059009313583374,-0.055243327748030424,0.1825896929949522,0.0,0.4967394582927227,0.14850496,-4.4033413,2.963696,5.309892654418945,0
23630,2507.54,4300.0,-689.08905,0.04268532,-0.6950265,0.38515353,0.7957556843757629,-0.03437339421361685,0.19846397452056408,0.0,0.5213014259934425,0.10184632,-4.40281,2.798128,5.217722415924072,0
23631,2507.54,4250.0,-689.08905,0.03554649,-0.6960556,0.36384505,0.7862188816070557,-0.012054297258146107,0.2150573506951332,0.0,0.5461215153336525,0.06849986,-4.4024534,2.626423,5.126830101013184,0
23632,2507.54,4200.0,-689.08905,0.02854331,-0.6971682,0.34255096,0.7773025631904602,0.009203807334415615,0.23211471177637577,0.0,0.5705189108848572,0.017266113,-4.4028993,2.460726,5.0439066886901855,0
23633,2507.54,4150.0005,-689.08905,0.021674283,-0.69836617,0.3212596,0.769020676612854,0.03023285372182727,0.24920013546943665,0.0,0.594310887157917,-0.008105256,-4.4030533,2.2875416,4.961833477020264,0
23634,2507.54,4100.0,-689.08905,0.01490031,-0.6996461,0.29996297,0.7613832950592041,0.05128283565863967,0.26663461700081825,0.0,0.6175811588764191,-0.054896872,-4.4026456,2.1206176,4.887056350708008,0
