node_id,x,y,z,ux,uy,uz,temp,defect_label
94,1319.0,550.0,2284.575,-0.7349934,0.03595651,-0.106009096,120.0,0
95,1319.0,500.0,2284.575,-0.7605644,0.025956511,-0.12193759,120.0,0
96,1319.0,450.0,2284.575,-0.7861354,0.015956512,-0.13786608,120.0,0
97,1319.0,400.0,2284.575,-0.8117063,0.005956511,-0.15379456,120.0,0
98,1319.0,350.0,2284.575,-0.8372773,-0.0040434888,-0.16972305,120.0,0
99,1319.0,300.0,2284.575,-0.8628482,-0.014043489,-0.18565154,120.0,0
100,1319.0,250.0,2284.575,-0.8884192,-0.02404349,-0.20158003,120.0,0
101,1319.0,200.0,2284.575,-0.9139902,-0.034043487,-0.21750852,120.0,0
102,1319.0,150.0,2284.575,-0.9395611,-0.04404349,-0.233437,120.0,0
103,1319.0,100.0,2284.575,-0.9651321,-0.05404349,-0.2493655,120.0,0
104,1319.0,50.0,2284.575,-0.99070305,-0.06404349,-0.265294,120.0,0
105,1362.2565,0.0,2259.0488,-1.0019866,-0.08803383,-0.27677682,120.0,0
106,1405.0192,0.0,2232.7036,-0.9876172,-0.10151071,-0.272604,120.0,0
107,1447.2725,0.0,2205.549,-0.9731709,-0.114469245,-0.26870552,120.0,0
108,1489.0012,0.0,2177.595,-0.958653,-0.1269048,-0.26508278,120.0,0
109,1530.1902,0.0,2148.8513,-0.9440687,-0.13881278,-0.26173714,120.0,0
110,1570.8243,0.0,2119.3289,-0.9294234,-0.15018891,-0.25866973,120.0,0
111,1610.8892,0.0,2089.038,-0.9147223,-0.1610291,-0.2558817,120.0,0
112,1650.3699,0.0,2057.99,-0.8999709,-0.17132932,-0.25337413,120.0,0
113,1689.2524,0.0,2026.1959,-0.88517433,-0.18108597,-0.2511478,120.0,0
114,1727.5226,0.0,1993.6674,-0.8703381,-0.19029546,-0.24920359,120.0,0
115,1765.1665,0.0,1960.416,-0.85546756,-0.1989544,-0.24754222,120.0,0
116,1802.1705,0.0,1926.4541,-0.84056807,-0.20705974,-0.24616423,120.0,0
117,1838.5214,0.0,1891.7937,-0.82564497,-0.2146085,-0.24507017,120.0,0
118,1874.2056,0.0,1856.4475,-0.8107038,-0.22159787,-0.24426046,120.0,0
119,1909.2104,0.0,1820.4285,-0.79574996,-0.22802547,-0.24373531,120.0,0
120,1943.5231,0.0,1783.7494,-0.78078884,-0.23388875,-0.24349502,120.0,0
121,1977.1313,0.0,1746.4237,-0.7658258,-0.23918584,-0.24353956,120.0,0
122,2010.0227,0.0,1708.465,-0.75086635,-0.2439146,-0.243869,120.0,0
123,2042.1855,0.0,1669.8868,-0.7359159,-0.24807347,-0.24448319,120.0,0
124,2073.6082,0.0,1630.7034,-0.7209798,-0.25166094,-0.24538188,120.0,0
125,2104.2788,0.0,1590.9288,-0.70606357,-0.25467554,-0.2465648,120.0,0
126,2134.1868,0.0,1550.5775,-0.69117254,-0.25711632,-0.2480315,120.0,0
127,2163.321,0.0,1509.6641,-0.67631215,-0.25898236,-0.24978144,120.0,0
128,2191.6711,0.0,1468.2034,-0.66148776,-0.26027304,-0.25181398,120.0,0
129,2219.2268,0.0,1426.2104,-0.64670473,-0.26098785,-0.25412837,120.0,0
130,2245.978,0.0,1383.7006,-0.63196844,-0.26112658,-0.25672376,120.0,0
131,2271.9148,0.0,1340.689,-0.61728424,-0.26068896,-0.25959933,120.0,0
132,2297.028,0.0,1297.1914,-0.6026575,-0.25967535,-0.2627539,120.0,0
133,2321.3088,0.0,1253.2236,-0.5880934,-0.2580862,-0.26618636,120.0,0
134,2344.7478,0.0,1208.8015,-0.5735974,-0.25592178,-0.26989555,120.0,0
135,2367.3372,0.0,1163.9413,-0.5591745,-0.2531833,-0.27387995,120.0,0
136,2389.068,0.0,1118.659,-0.54483014,-0.2498714,-0.27813825,120.0,0
137,2409.9329,0.0,1072.9713,-0.5305695,-0.2459873,-0.28266895,120.0,0
138,2429.9243,0.0,1026.8945,-0.5163976,-0.24153264,-0.28747025,120.0,0
139,2449.0347,0.0,980.44556,-0.50231975,-0.2365088,-0.29254055,120.0,0
140,2467.2573,0.0,933.6412,-0.488341,-0.23091775,-0.29787794,120.0,0
141,2484.5854,0.0,886.4983,-0.47446638,-0.2247614,-0.3034805,120.0,0
142,2501.013,0.0,839.03406,-0.46070096,-0.21804206,-0.30934623,120.0,0
143,2516.534,0.0,791.2657,-0.44704965,-0.21076225,-0.3154729,120.0,0
144,2531.1426,0.0,743.2105,-0.43351752,-0.20292446,-0.3218584,120.0,0
145,2544.8335,0.0,694.88586,-0.4201094,-0.19453149,-0.32850042,120.0,0
146,2557.602,0.0,646.3093,-0.40683016,-0.18558656,-0.3353965,120.0,0
147,2569.4434,0.0,597.4985,-0.39368463,-0.17609276,-0.34254414,120.0,0
